"Sign in / Sign up", "Se connecter / S'inscrire"
"URL SHORTENER","RACCOURCISSEUR D'URL"
"Reduce yours URLs with clypy, and get advanced stats on clicks.","Réduisez vos URLs avec clypy et obtenez des statistiques avancées sur les clics."
"Start now","Commencez maintenant"
"Dashboard","Tableau de bord"
"Best URLs shortener ⚡ !","Meilleur raccourcisseur d'URLs ⚡!"
"Shortcut links","Liens raccourci"
"Users","Utilisateurs"
"Clicks","Clics"
"<strong>Clypy</strong> gives you the possibility to shorten your URLs for easy access to the desired address.The handy solution for an influencer to keep in view the links you share with your community !", "<strong>Clypy</strong> vous donne la possibilité de raccourcir vos URLs pour un accès facile à l'adresse désirée. La solution pratique pour un influenceur pour garder en vue les liens que vous partagez avec votre communauté !"
"When a person is directed to our URLs, he is instantly redirected to the links you have. This <strong>quick redirect</strong> allows us to collect information and thus traced beautiful curves in <a href='%'>dashboard</a> !","Lorsqu'une personne est dirigée vers nos URLs, elle est instantanément redirigée vers les liens que vous avez renseignés. Cette <strong>redirection rapide</strong> nous permet de collecter des informations et ainsi tracer de belles courbes dans le <a href='%'>tableau de bord</a>!"
"<a href='%/register'>Sign up</a> on <strong>clypy</strong> to start the adventure! If you already have an account, we thank you for your trust and we invite you to <a href='%/login'>login</a>!","<a href='%/register'>Inscrivez-vous</a> sur <strong>clypy</strong> pour commencer l'aventure! Si vous avez déjà un compte, nous vous remercions de votre confiance et nous vous invitons à <a href='%/login'>vous connecter</a>!"
"<strong>Create your links in just a few clicks and benefit all our advantages!</strong> Clypy is <strong>free</strong> for everyone and has been developed with ❤ by <a href='#'>vince</a>. Start now the new experience that Clypy offers.", "<strong>Créez vos liens en quelques clics et bénéficiez de tous nos avantages!</strong> Clypy est <strong>gratuit</strong> pour tous et a été développé avec ❤ by <a href='#'>vince</a>. Commencez maintenant la nouvelle expérience offerte par Clypy."
"SHARE CLYPY !","PARTAGEZ CLYPY !"
